Fund,Fund Name,Cash,Department Name,Fund Purpose,Sources of Funds,Eligible Uses,Fund Category,Ending Fund Balance,Assets,Liabilities,Grant Receivable Asset,Other Assets,Current Collected Revenue,Cash Disbursement,Outstanding Commitment,Date Fund Established,Fund Group Name,Fund Type Name,Council File Link,Fund Origin Council File #,Department,Fund Origin Ordinance #,Amending Ordinances,Code Section,Fund Origin Resolution,Amending Resolution,Currently on Budget,Replacement of GF Allowed,Any Overhead Costs Remitted to GF,Overhead Costs Reimbursement Eligibility,Interest to GF,Interest Reversion Eligibility,GF Reversion,Inactive Fund - Close,Contact,Phone,Email
42V,Edi Grant Fund,$2747.06,Economic Development Department,Establishment of fund for the L.A. Community Development Bank within the City's FMIS,Economic Development Initiative Grants,"Tracking of assets, income and expenditure for the grants",Community Development,$2747.06,$2747.06,$0.00,$0.00,$0.00,$6.29,$0.00,$0.00,07/23/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=98-2035,98-2035,22,,,,,,No,No,Yes,Yes,No,No,No,No,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
42X,Hollywood Media Dp & Bus Impro,$460.88,City Clerk,To collect and disburse assessments for the approved programs and activities of the BID,Assessments levied on properties within the district,"To support supplemental programs, services and activities that benefit businesses within the boundaries of the BID",Community Development,$103194.78,$103194.78,$0.00,$0.00,$102733.90,$35922.64,$128864.53,$0.00,09/27/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=97-1253,97-1253,14,172793,,,,,No,No,No,No,No,No,No,No,Miranda Paster,(213) 978-1111,miranda.paster@lacity.org
42Y,Eda Pw & Dev Facil Fin Assist,$30077.49,Mayor,For public improvements of the Mid-City Recovery Redevelopment Project Area.,U.S. Dept. of Commerce Economic Development Administration Grant,Record the receipts and disbursements of funds,Community Development,$30077.49,$30077.49,$0.00,$0.00,$0.00,$72.60,$0.00,$0.18,03/12/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=98-1940,98-1940,46,,,,,,No,No,No,Unable to Determine,No,No,No,No,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
431,Ceta Trust,$358.61,Economic Development Department,"Supplement job training, provide emergency housing assistance for homeless job training participants",Federal Dept. of Labor,For job training programs,Community Development,$358.61,$27519.96,$27161.35,$0.00,$27161.35,$0.00,$0.00,$0.00,06/30/1987,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=87-1198-S2,87-1198-S2,22,,,,,,No,No,Yes,Yes,Yes,Not Applicable,No,Yes,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
434,Venice Area Surp Real Property,$2370924.27,CD 11 Non-Departmental - Appropriations to Special Purpose Fund,Construction of Venice Beach Bike Park and Venice Beach LAPD Substation Project,Transfer from Venice Area Surplus Real Estate Property Fund,"Upon adoption of a resolution by the City Council, the net proceeds from the sale of any of the properties mentioned above shall be devoted exclusively to capital or non-capital projects or purchases generally within the 'Venice Area' for purposes which w",Other Capital Projects,$2370924.27,$2370924.27,$0.00,$0.00,$0.00,$0.00,$0.00,$104960.93,06/03/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=96-0700,96-0700,50,172627,,,,,No,No,No,No,Yes,Not Applicable,No,No,Yolanda Antonio,(213) 978-0901,yolanda.antonio@lacity.org
436,Special Reward Trust,$0.00,City Clerk,Holds funds for rewards for info leading to the identification & apprehension of criminal suspects,General Fund Appropriation,Payment of claims only. Any funds in excess of any current rewards may be reverted to General Fund.,Law Enforcement,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,09/04/1983,Governmental,General Fund,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=80-4284-S1,80-4284-S1,14,"158156, 158157","166666, 172876",19.12,,,No,No,No,No,Yes,Not Applicable,No,No,Miranda Paster,(213) 978-1111,miranda.paster@lacity.org
437,Runyon Canyon Acquisition Trus,$793347.18,Recreation and Parks,To collect proceeds from sale of real property located in Mount Olympus Drive and purchase real property located in Runyon Canyon.,Transfer from Runyon Canyon Acquisition Fund,"Construction, development, all interest and earnings shall be credited to the fund",Recreation and Parks,$-706652.82,$793347.18,$1500000.00,$0.00,$0.00,$1914.34,$0.00,$0.00,06/28/1989,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=86-0698,86-0698,88,157036,,LAMC 5.121.1,Not Applicable,Not Applicable,No,No,No,No,No,No,No,No,Noel Williams,(213) 202-4358,noel.williams@lacity.org
438,Construction Services Trust Fd,$14568832.00,CAO Non-Departmental - Appropriations to Special Purpose Fund,"For the design, construction and equipping of the City's One-Stop Permit Center","All amounts received from surcharges imposed pursuant to Sections 19.08,68.12 and 98.0410 of the L.A. Municipal Code","Expenditures from the Fund shall be made for the design, construction and equipping of the City's Constituent Construction Service Centers and their functional support services, as well as any incidental expenses associated with said projects such as the non-recurring expenses for the equipping of temporary quarters to house employees displaced during the construction period and repaying advances from any other fund. Funds shall not be used for reimbursement of administrative costs.",Construction and Engineering,$14568688.64,$14599449.11,$30760.47,$0.00,$30617.11,$1290141.67,$544847.68,$906070.99,08/19/1998,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=98-0893,98-0893,50,172189,Not Applicable,"Sections 19.08,68.12 and 98.0410 of the L.A. Municipal Code",,,No,No,No,No,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
43A,1999 302(A) State & Urban Eda,$1625.67,Mayor,For Comprehensive Economic Development Administrative Strategic Plan for East L.A. and surroundings,U.S. Dept. of Commerce Grants,"Pubic improvements, salaries and development of strategic plan",Community Development,$1625.67,$1625.67,$0.00,$0.00,$0.00,$4.07,$0.00,$0.00,02/26/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=97-0395-S1,97-0395-S1,46,,,,,,No,No,Yes,Yes,No,No,No,No,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
43B,Cops 3-1-1 Technology Grant Pr,$38.75,Mayor,Implementation of the 311 access telephone number for non-emergency calls for Police Dept. Service,U.S. Dept. of Justice Cops Technology Grants,"For Interactive Voice Response System, Selective Routing Database, Telephone Intelligent workstations and other contractual services",Law Enforcement,$38.75,$38.75,$0.00,$0.00,$0.00,$0.01,$0.00,$0.00,09/29/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=96-2054-S1,96-2054-S1,46,,,,,,No,No,No,Unable to Determine,No,No,No,No?,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
43C,Cops School-Based Partship Pgm,$0.00,Mayor,For the Police Dept.'s school based partnership program to analyze school crime and disorder issues,U.S. Dept. of Justice Community Oriented Policing Services Grants,"Salaries, equipment, supplies and fringe benefits",Law Enforcement,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,09/29/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-1625,99-1625,46,,,,,,No,No,Unable to Determine,Yes,Yes,Not Applicable,No,No,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
43D,Street Furniture Revenue Fund,$5068153.47,Street Services Non-Departmental - Appropriations to Special Purpose Fund,"To provide transit shelters, automatic self-cleaning toilets, newsstands and public amenity kiosks",One half of all revenues from advertisements placed in or upon street furniture,Special purpose fund appropriations (program costs).,Street Services,$5068153.47,$5068153.47,$0.00,$0.00,$0.00,$11578.75,$358380.81,$6593.75,12/24/2001,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=00-1079,00-1079,50,174378,,,,,No,No,No,No,No,No,No,No,Victoria Villa-Agustin,(213) 847-2815,victoria.villa-agustin@lacity.org
43E,Chatsworth Business Improv Dis,$6188.26,City Clerk,To collect and disburse assessments for the approved programs and activities of the BID,Assessments levied on properties within the district,"To support supplemental programs, services and activities that benefit businesses within the boundaries of the BID",Community Development,$102032.66,$102056.26,$23.60,$0.00,$95868.00,$42.34,$0.00,$5779.09,09/10/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=96-1007,96-1007,14,172795,,,,,No,No,No,No,No,No,No,No,Miranda Paster,(213) 978-1111,miranda.paster@lacity.org
43F,Cdd Section 108 Loan Guarantee,$53406.17,Economic Development Department,To stimulate economic and housing development in certain impacted areas,Section 108 Loan Program Funds,Establishing the improvement district and confirming assessments to be levied upon properties in the district,Community Development,$53406.17,$30053406.17,$30000000.00,$30000000.00,$0.00,$91752.37,$74261.06,$260220.00,10/27/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-0684,99-0684,22,,,,,,Yes,No,Yes,Yes,No,No,No,No,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
43G,Health Alternatives To Smoking,$1171301.15,City Administrative Officer,For acquisition of park land and development of recreational facilities in under-served areas,Funds from National Tobacco settlement,"Acquisition of park land and recreation improvements, salaries, installation of curb ramps as required by the ADA",Other Capital Projects,$1171301.15,$1171301.15,$0.00,$0.00,$0.00,$2826.25,$0.00,$20205.00,07/20/1998,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=97-0031-S13,97-0031-S13,10,172727,,Admin Code - 5.512,,,No,No,No,No,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
43J,Sherman Oaks Bus Impr Distr,$27487.22,City Clerk,To collect and disburse assessments for the approved programs and activities of the BID,Assessments levied on properties within the district,"To support supplemental programs, services and activities that benefit businesses within the boundaries of the BID",Community Development,$34465.28,$34465.28,$0.00,$0.00,$6978.06,$4349.66,$24160.18,$27401.16,08/06/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=96-0611,96-0611,14,172778,,,,,No,No,No,No,No,No,No,No,Miranda Paster,(213) 978-1111,miranda.paster@lacity.org
43K,Proposition K Projects Fund,$74819199.23,City Administrative Officer,Eighty-two percent of Prop K assessments are to be deposited into this fund for capital costs  ,"L.A. Lighting District 96-1 (Proposition K) assessment collections, including interest earnings and penalties.","Primary use to fund capital project expenses, including debt service for bond series 2000, 2001 and 2002",Other Capital Projects,$74782980.86,$74819199.23,$36218.37,$0.00,$0.00,$564145.09,$3928262.14,$14637562.06,12/14/1999,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=97-0031-S20,97-0031-S20,10,172960,,Admin Code - 8.325,,,No,No,No,Yes,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
43L,Proposition K Maintenance Fund,$20777550.74,City Administrative Officer,Fifteen percent of Prop K assessments are to be deposited into this fund for maintenance expenses,"L.A. Lighting District 96-1 (Proposition K) assessment collections, including interest earnings and penalties.",Primary use to fund maintenance expenses for completed projects qualifying though an annual application process.,Other Capital Projects,$20777550.74,$20777550.74,$0.00,$0.00,$0.00,$111633.43,$86881.00,$2549857.85,12/14/1999,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=97-0031-S20,97-0031-S20,10,172960,,Admin Code - 8.325,,,No,No,No,No,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
43M,Proposition K Administration F,$4606545.19,City Administrative Officer,Three percent of Prop K assessments are to be deposited into this fund for administrative costs,"L.A. Lighting District 96-1 (Proposition K) assessment collections, including interest earnings and penalties.",Primary use to fund program administrative costs,Other Capital Projects,$4606545.19,$4606545.19,$0.00,$0.00,$0.00,$24197.81,$0.00,$5247.13,12/14/1999,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=97-0031-S20,97-0031-S20,10,172960,,Admin Code - 8.325,,,No,No,No,No,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
43N,Proposition K Bonds Match Fund,$3094500.95,City Administrative Officer,For receipt of money from City and non-City sources that serve as matching money contributions,Matching money contributions,"Only used for design, construction and/or acquisition costs of Proposition K bond financed projects. All earnings by the Improvement Fund shall be retained in the Fund.",Other Capital Projects,$3094500.95,$3094500.95,$0.00,$0.00,$0.00,$11811.84,$3138637.64,$251086.51,12/14/1999,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=97-0031-S20,97-0031-S20,10,172960,,Admin Code - 8.325,,,No,No,No,No,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
43P,Landscapng & Lt Asses Ser 2000,$3175891.06,City Administrative Officer,For projects as provided in the Bond indenture or added by Council public hearing process,"Sale of Landscaping District 96-1 Assessment Bonds, Series 2000","Only used for design, construction and/or acquisition costs of Proposition K bond financed projects. All earnings by the Improvement Fund shall be retained in the Fund.",Other Capital Projects,$3175891.06,$3175891.06,$0.00,$0.00,$0.00,$7818.27,$29886.80,$324239.80,02/28/2000,Governmental,Capital Projects,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=97-0031-S20,97-0031-S20,10,172960,,Admin Code - 8.325,,,No,No,No,No,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
43S,Bus Bench Advertising Progra,$1463933.92,Street Services Non-Departmental - Appropriations to Special Purpose Fund,To acquire and install advertising-free bus benches in specific portions of the City,All Bus Bench Advertising Revenues in excess of the minimum annual payment to cover salary cost of City Personnel used to administer the program,To be used in portions of the City that are not part of a specific plan of a business improvement district ,Other Purposes,$1463933.92,$1463933.92,$0.00,$0.00,$0.00,$3575.88,$54732.00,$0.00,05/30/2001,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=96-1714,96-1714,50,173987,,,,,Yes,No,No,No,No,No,No,No,Victoria Villa-Agustin,(213) 847-2815,victoria.villa-agustin@lacity.org
43U,Street Banners Revenue Trust,$332557.72,Street Lighting Non-Departmental - Appropriations to Special Purpose Fund,"Receipt, retention & disbursement of all fees paid for st banner install or sales of st banners.",Fees paid to the City of L.A. for street banner installations or from the sale of street banners,"Record receipt, retention and disbursement",Other Purposes,$332557.72,$332557.72,$0.00,$0.00,$0.00,$103257.26,$0.00,$0.00,12/23/1999,Governmental,Special Revenue,,97-1776-S2,50,172900,180815,LAAC 5.516,,,Yes,No,No,No,No,No,No,No,Carleen Marquez,(213) 847-1327,carleen.marquez@lacity.org
43W,Warner Center Air Quality Trus,$282371.49,City Planning and Development,To disburse payments pursuant to Section 18 of the Warner Center Specific Plan,Construction Air Quality Impact Assessment Fee,Reimbursement of the School District's purchase and installation of enhanced air conditioning and filtration systems ,Community Development,$282371.49,$282371.49,$0.00,$0.00,$0.00,$681.38,$0.00,$0.00,02/04/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-1294-S1,99-1294-S1,68,173071,173277,Sec.5.331,,,No,No,No,No,No,No,No,No,Livea Yeh,(213) 978-1268,livea.yeh@lacity.org
43Y,Youth Opportunities Grant Fund,$72293.14,Economic Development Department,Provide high-poverty communities within empowerment zones resources to increase long-term employment,U.S. Dept. of Labor Youth Opportunities Grant,"To be used for all related costs, interest and earnings are to be credited to the fund",Community Development,$72293.14,$72293.14,$0.00,$0.00,$0.00,$174.44,$0.00,$0.00,04/10/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-1465,99-1465,22,,,,,,No,No,Yes,Yes,No,No,No,Yes,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
440,Rent Stabilization Trust,$9617305.41,Housing and Community Investment Department,Rent Stabilization programs,"All monies received by the City as fees, penalties or otherwise arising out of the City's Rent Stabilization Ordinance",For implementation & administration of City Rent Stabilization Ordinance.,Regulation Enforcement,$8969243.68,$9617305.41,$648061.73,$0.00,$0.00,$534856.31,$2878940.30,$1182158.49,06/30/1987,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=80-2660-S17A,80-2660-S17A,43,157695,173305, 5.111.7,,,Yes,No,Yes,Yes,Yes,Not Applicable,No,No,Lyndon Salvador,(213) 808-8429,lyndon.salvador@lacity.org
441,Furtherance Of Int Earthq Conf,$98578.48,City Clerk,To enhance the general understanding and awareness of earthquakes and how best to plan and prepare,"Gifts, contributions, bequests, etc","Expenditures are to be made to enhance the general understanding and awareness of the need for and implementation of pre-earthquake preparedness and planning, recovery methods and practices, and the availability thereof to and through local government. Expenditures made after approval by the Chairperson of Building and Safety or the City Council by resolution",Fire Prevention and Emergency Preparedness,$98578.48,$98578.48,$0.00,$0.00,$0.00,$0.00,$0.00,$49960.50,06/30/1987,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=81-3104-S1A,81-3104-S1A,14,158207,"160220, 161031, 164508, 164741",5.111.9,,,No,No,No,No,Yes,Not Applicable,No,No,Miranda Paster,(213) 978-1111,miranda.paster@lacity.org
442,Coral Tree Trimming Trust,$0.00,Street Services Non-Departmental - Appropriations to Special Purpose Fund,For the trimming of Coral trees along San Vicente Blvd in the Brentwood area,Gift from the SOS Coral Tree Committee or any entity for the trimming of the coral trees along San Vicente Blvd in the Brentwood area,Exclusively for the trimming of Coral trees along San Vicente Blvd in Brentwood,Street Services,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,07/27/1983,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=83-1300,83-1300,50,158174,Not Applicable,"Admin Code Chapter 5, Article 12.8, Section 5.111.10",,,No,No,No,No,Yes,Not Applicable,No,No,Victoria Villa-Agustin,(213) 847-2815,victoria.villa-agustin@lacity.org
443,Jtpa Trust,$14478.75,Economic Development Department,Tracks Job Training Partnership Act grants for supporting public-private partnerships for training,Job Training Partnership Act grant funds,For executing contracts with nonprofits and community organizations for the purposes of facilitating job training,Community Development,$14478.75,$14478.75,$0.00,$0.00,$0.00,$34.89,$0.00,$0.00,06/30/1987,Governmental,Special Revenue,,,22,,,,,,No,No,Yes,Yes,No,No,No,Yes,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
444,Curbside Recycling Trust,$1740212.08,Sanitation Non-Departmental - Appropriations to Special Purpose Fund,For the Citywide implementation of curbside recycling programs and activities. ,The Initial transfer was from the Environmental Trust Fund.  The fund currently receives interest only. CA Beverage Container Reimbursement revenue that used to be deposited in this fund is now deposited in Fund 508 per Council instruction. ,Expenditures related to curbside recycling programs and activities. ,"Health, Environmental and Sanitation Program",$1740212.08,$1740212.08,$0.00,$0.00,$0.00,$4199.11,$0.00,$22.61,11/26/1983,Governmental,Special Revenue,,,50,158429,,"Division 5, Chapter 5, Article 12.9, Section 5.111.11 of the Los Angeles Administrative Code",,,No,No,Yes,Yes,No,No,No,Yes,Lisa Mowery,(213) 485-2374,lisa.mowery@lacity.org
445,Senior Transpor 12TH Dist Trus,$0.00,City Clerk,Tracks funds to develop programs for transportation for seniors residing within CD12,Initial fund transfer from Citywide projects development fund,"Administered at the direction of the Councilmember representing CD 12, exclusively for the development and programs for the transportation of senior citizens residing within CD 12",Social Services,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,06/30/1987,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=83-2037,83-2037,14,159090,,5.86,,,No,No,No,No,No,No,No,No,Miranda Paster,(213) 978-1111,miranda.paster@lacity.org
447,Coastal Transp Corridor Trust,$15951720.48,Transportation,Coastal Transportation Services,"Monies derived from payments of the Transportation Impact Assessment Fee collected for mitigation of transportation impacts throughout the Coastal Transportation Corridor.  Guidelines for payment of TIA fee, repealed Ord 160,394 (1985 Coastal Transportation Corridor Specific Plan","Up to 5% of the money remaining in the Fund at the end of the fiscal year or the money placed in the fund during the fiscal year, whichever is greater, shall be transferred to the administrative account.  Equipment can be expended directly from the Fund.   1. Transportation system within the specific plan area as provided in the Coastal Transportation Corridor Specific Plan. 2. Monies from Glencoe Improvement Account shall only be used for public improvements on Glencoe Avenue. 3. The monies placed in the Fund each year shall be used to improve the transportation system within the Specific Plan Area as provided in the Coastal Transportation Corridor Specific Plan.  Up to fifty percent of the monies collected may be expended for costs incurred by the Department of Transportation which are directly associated with planning, engineering, construction and property acquisition for a transit facility.  Up to five percent of the monies remaining in the fund at the end of the fiscal year or the monies placed in the Fund during the fiscal year, whichever is greater, shall be transferred to the administrative account for Department of Transportation equipment, establishing a one-stop counter, Department of Transportation salaries, equipment, research effort, traffic studies, transportation plans, coordination, planning and processing associated with the administration of the Coastal Transportation Corridor Specific Plan.  The fund shall not be used to pay for improvements which do not provide a regional or subregional transportation benefit.",Transportation,$15639720.48,$15951720.48,$312000.00,$0.00,$0.00,$71647.22,$62993.11,$547121.76,11/14/1985,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=83-1859,83-1859,94,169000,160397,"Admin Code, Chapter 5, Article 13.5, Sec 5.111.14",,,Yes,No,No,No,No,No,No,No,William Halverson,(213) 972-5957,william.halverson@lacity.org
44A,Workforce Invest Act Trs,$2057819.46,Economic Development Department,To provide employment and training opportunities for disadvantage residents of the City,U.S. Dept. of Labor Grants,"Funds to be used for City's One-Stop System, Youth Program, Welfare-to-Work Program, and other programs through EDD",Community Development,$1133808.41,$87235372.14,$86101563.73,$84925565.45,$251987.23,$11246950.05,$10442668.20,$31442261.66,05/04/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=00-0553,00-0553,22,,,,,,Yes,No,Yes,Yes,No,No,No,No,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
44B,Dept Of Neighborhood Empowere,$2053499.14,Neighborhood Empowerment,For the deposit and disbursement of funds for department's operations & for neighborhood councils  ,General Fund Appropriations,Neighborhood Council funding and all costs and expenses incurred in the operation of the Dept.,Community Development,$2049414.38,$2053499.14,$4084.76,$0.00,$0.00,$1855857.00,$1591039.83,$109202.32,04/14/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-1800-S42,99-1800-S42,47,173184,,LAAC 5.517,,,Yes,No,No,Not Applicable,Yes,Not Applicable,No,No,Armando Ruiz,(213) 978-1147,armando.ruiz@lacity.org
44C,At Risk Youth Employability Se,$20.80,Economic Development Department,Provide opportunities for full-time employment through educational and vocational development,CA State General Fund Grants,"Employment Assistance, training internships, retention services for at-risk youths",Community Development,$20.80,$20.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,02/29/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-2464,99-2464,22,,,,,,No,No,Yes,Yes,No,No,No,Yes,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
44D,US Dept Of Justice Asset Forfe,$9491874.12,Police,Public Safety,Monies received from the U.S. Dept. of Justice,"Funds 44D, 44E, 44F, were established to separate Dept. of Justice, Treasury and State forfeited assets funds and remaining balance in Fund 857 to be transferred to the appropriate accounts. ",Law Enforcement,$9488639.57,$9491874.12,$3234.55,$0.00,$0.00,$1191449.50,$1146346.98,$2274967.62,05/31/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-0600-S80,99-0600-S80,70,173345,,5.52,,,Yes,No,No,No,No,No,No,No,Laura Luna,(213) 486-8590,laura.luna@lapd.lacity.org
44E,U.S. Treasury Asset Forfeiture,$1325758.71,Police,Public Safety,Monies received from the U.S. Dept. of the Treasury,"Funds 44D, 44E, 44F, were established to separate Dept. of Justice, Treasury and State forfeited assets funds and remaining balance in Fund 857 to be transferred to the appropriate accounts. ",Law Enforcement,$1325758.71,$1325758.71,$0.00,$0.00,$0.00,$88897.46,$87800.00,$120735.25,05/31/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-0600-S80,99-0600-S80,70,173345,,LAAC 5.520.1,,,Yes,No,No,No,No,No,No,No,Laura Luna,(213) 486-8590,laura.luna@lapd.lacity.org
44F,Calif State Asset Forfeiture,$3312705.78,Police,Public Safety,Monies received from the CA Health and Safety Code Section 11489 and any State court ordered asset forfeitures,"Funds 44D, 44E, 44F, were established to separate Dept. of Justice, Treasury and State forfeited assets funds and remaining balance in Fund 857 to be transferred to the appropriate accounts. ",Law Enforcement,$3312705.78,$3312705.78,$0.00,$0.00,$0.00,$233473.42,$1861562.77,$165210.77,05/31/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-0600-S80,99-0600-S80,70,173345,,LAAC 5.120.2,,,Yes,No,No,No,No,No,No,No,Laura Luna,(213) 486-8590,laura.luna@lapd.lacity.org
44G,City Of La Affordable Housing,$31647878.28,Housing and Community Investment Department,For development and preservation of affordable housing,"One-time Council Appropriation, gifts, contributions and interest earnings","Exclusively for housing needs of the City including predevelopment activities, acquisition, development, new construction, rehabilitation and restoration",Community Development,$31022878.28,$51371175.48,$20348297.20,$184355.06,$19538942.14,$23548013.90,$13852401.22,$8647570.40,05/31/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-1753,99-1753,43,173346,Not Applicable,5.522,,,Yes,No,Yes,Yes,No,No,No,No,Lyndon Salvador,(213) 808-8429,lyndon.salvador@lacity.org
44H,Calworks Youth Jobs Trust,$174945.45,Economic Development Department,For CalWorks Youth Program and for the Workforce Development Division of CDD,Monies received from the Community and Senior Services Department of the County of Los Angeles,"Administrative costs and program costs, Summer Youth Program",Community Development,$174945.45,$1484536.45,$1309591.00,$1309591.00,$0.00,$422.22,$0.00,$0.00,06/30/2000,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-0646-S2,99-0646-S2,22,,,,,,No,No,Yes,Yes,No,No,No,Yes,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
