Fiscal Year,Function/Program,Department,Program/Metric,Program/Metric Label,Amount,Sub-Metric 1,Sub-Metric2
2012,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recyclables,143338,Completion frequency-posted routes %,Recyclables
2012,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Yard Trimmings,470527,Completion frequency-posted routes %,Yard Trimmings
2012,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Refuse,851434,Completion frequency-posted routes %,Refuse
2012,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Increase truck fleet conversion to clean fuel (no. of trucks),544,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Convert refuse collection fleet to clean fuels (%),0,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Implement LAUSD Blue Bin Recycling Program (%),0,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Clean Water,"Clean Water/Clean 60,000 pipe reaches as mandated (%)",0,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/Maintain 3-yr rolling avrg of 60 miles of sewers (%),0,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/WCSD Sewer Cleaning - miles of sewers cleaned (10),6750,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Water Reclaimed (MGD),28,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Wastewater Treatment (MGD),57,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Water Reclaimed (MGD),5,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Wastewater Treatment (MGD),20,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Reclaimed (MGD),1,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Treatment (MGD),16,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Reclaimed (MGD),28,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Treatment (MGD),305,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Watershed Protection,"Watershed Protection/Clean 90,000 catch basins annually (%)",0,Completion frequency-posted routes %,
2012,Health and Sanitation,Sanitation,Maintenance and Operation of Flood Control Facilities,Maintenance and Operation of Flood Control Facilities/Catch Basin Cleaning,68750,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals adopted,30414,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Animal Services,Animal Licensing and Permitting Operations,Animal Licensing and Permitting Operations/Dog licenses issued,123080,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals impounded (7),64952,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals which die while in City's care (%),0,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals euthanized,23955,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Building and Safety,Building Permits Issued,Building Permits Issued,121140,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Building and Safety,Response to inspection requests within 24 hrs (%),Response to inspection requests within 24 hrs (%),98,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Response within 5 mins of notification (%),0,Completion frequency-posted routes %,Response within 5 mins of notification (%)
2012,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Fires (includes automatic alarms),122492,Completion frequency-posted routes %,Fires (includes automatic alarms)
2012,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Hazardous conditions,4852,Completion frequency-posted routes %,Hazardous conditions
2012,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Rescues and others,39324,Completion frequency-posted routes %,Rescues and others
2012,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Helicopter flight hours for brush and structure fires,745,Completion frequency-posted routes %,Helicopter flight hours for brush and structure fires
2012,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic ambulances,250362,Completion frequency-posted routes %,Paramedic ambulances
2012,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Arson Investigation and Counter-Terrorism/Closure rate in criminal fires investigation (%),40,Completion frequency-posted routes %,Closure rate in criminal fires investigation (%)
2012,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT ambulances,134195,Completion frequency-posted routes %,EMT ambulances
2012,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic fire resources,125196,Completion frequency-posted routes %,Paramedic fire resources
2012,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Response to emergencies within 5 mins (%),0,Completion frequency-posted routes %,Response to emergencies within 5 mins (%)
2012,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT fire resources,166684,Completion frequency-posted routes %,EMT fire resources
2012,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Structure fires,4871,Completion frequency-posted routes %,Structure fires
2012,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Non structure fires,10991,Completion frequency-posted routes %,Non structure fires
2012,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Response to emergency calls (in minutes),6,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Selected Part II crimes reported,85938,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Part I crimes reported,104604,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Total arrests,162698,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged rape kits reduced,0,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged fingerprint cases reduced,4342,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Police,Technical Support Program,Technical Support Program/Complaint board calls received (911),2269872,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic citations issued,504312,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Fatal and injury traffic accidents,21216,Completion frequency-posted routes %,
2012,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic collisions investigated,45446,Completion frequency-posted routes %,
2012,Public Works,Board of Commissioners,"Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)","Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)",30100,Completion frequency-posted routes %,
2012,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Response time to clear illegal dumping (days)",0,Completion frequency-posted routes %,
2012,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Sidewalks repaired (miles),,Completion frequency-posted routes %,
2012,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Access ramps constructed,1724,Completion frequency-posted routes %,
2012,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Bus pads constructed,144,Completion frequency-posted routes %,
2012,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Streets resurfaced (miles),236,Completion frequency-posted routes %,
2012,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees trimmed in City's urban forest,22226,Completion frequency-posted routes %,
2012,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees trimmed - City forces (broadhead),2046,Completion frequency-posted routes %,
2012,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees planted - City forces & Non-profits (MTLA),3239,Completion frequency-posted routes %,
2012,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-nonposted routes (weeks)/Goal-nonposted routes (weeks),,Completion frequency-posted routes %,Goal-nonposted routes (weeks)
2012,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-nonposted routes (weeks),15,Completion frequency-posted routes %,
2012,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-posted routes/Goal-posted routes %,97,Completion frequency-posted routes %,Goal-posted routes %
2012,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-posted routes %,97,Completion frequency-posted routes %,
2012,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Debris removed (cubic yards)",95505,Completion frequency-posted routes %,
2012,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-public (million sq ft)",7,Completion frequency-posted routes %,
2012,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-private (million sq ft)",7,Completion frequency-posted routes %,
2012,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Number New Signals (Traffic and Pedestrian) Installed,105,Completion frequency-posted routes %,
2012,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Citations written,2522302,Completion frequency-posted routes %,
2012,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Citations written per officer per eight-hour shift,33,Completion frequency-posted routes %,
2012,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Peak hour tows and other tows,48648,Completion frequency-posted routes %,
2012,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Crossing guard assignments,492,Completion frequency-posted routes %,
2012,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Number of hours of intersection control,30370,Completion frequency-posted routes %,
2012,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Abandoned vehicles abated,74270,Completion frequency-posted routes %,
2012,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Abandoned vehicles impounded,2776,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transit Operations,Transit Operations/Fixed transit routes in service,45,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transit Operations,Transit Operations/Fixed transit route passenger trips,23736486,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transit Operations,Transit Operations/Total transit vehicle passenger trips,23824821,Completion frequency-posted routes %,
2012,Transportation,Transportation,Parking Operations Support and Adjudication,Parking Operations Support and Adjudication/Citation reviews completed within 21 days (%),81,Completion frequency-posted routes %,
2012,Transportation,Transportation,Parking Operations Support and Adjudication,Parking Operations Support and Adjudication/Collection rate of citations issued in the year (%),72,Completion frequency-posted routes %,
2012,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Traffic control signals maintained (%),24,Completion frequency-posted routes %,
2012,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Number Traffic Signals Repaired,8832,Completion frequency-posted routes %,
2012,Transportation,Transportation,Franchise and Taxicab Regulation,Franchise and Taxicab Regulation/Bandit vehicles impounded,916,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Increase in bicycle lane miles,51,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Increase in bicycle sharrow miles,21,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Active traffic congestion relief projects,78,Completion frequency-posted routes %,
2012,Transportation,Transportation,Franchise and Taxicab Regulation,Franchise and Taxicab Regulation/Bandit drivers arrested,991,Completion frequency-posted routes %,
2012,Transportation,Transportation,Mass Transit Information Services,Mass Transit Information Services/Shuttle bus transit ridership per hour,39,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transportation System Engineering Program,Transportation System Engineering Program/Speed humps/tables constructed,38,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Red curb miles reinstalled/installed,470,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Thermoplastic longline striping installed/reinstalled (previously lane miles),925,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Signs Replaced (9),0,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Signs Maintained/Replaced,66556,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Temporary Signs installed/removed,423759,Completion frequency-posted routes %,
2012,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Number miles of lane markings installed,255,Completion frequency-posted routes %,
2011,Business-Type Activities ,Airports,Passengers (millions),Passengers (millions),65,Completion frequency-posted routes %,
2011,Business-Type Activities ,Airports,Aircraft movements (thousands),Aircraft movements (thousands),989,Completion frequency-posted routes %,
2011,Business-Type Activities ,Airports,Air cargo (thousand tons),Air cargo (thousand tons),2296,Completion frequency-posted routes %,
2011,Business-Type Activities ,Harbor,Containerized cargo volume (in million of TEUs),Containerized cargo volume (in million of TEUs),8,Completion frequency-posted routes %,
2011,Business-Type Activities ,Harbor,Miles of waterfront,Miles of waterfront,43,Completion frequency-posted routes %,
2011,Business-Type Activities ,Harbor,Outbound tonnage (million tons),Outbound tonnage (million tons),68,Completion frequency-posted routes %,
2011,Business-Type Activities ,Harbor,Inbound tonnage (million tons),Inbound tonnage (million tons),94,Completion frequency-posted routes %,
2011,Business-Type Activities ,Harbor,Vessel arrivals,Vessel arrivals,2236,Completion frequency-posted routes %,
2011,Business-Type Activities ,Harbor,Cruise passengers,Cruise passengers,667434,Completion frequency-posted routes %,
2011,Business-Type Activities ,Power,Energy production (billion kwh),Energy production (billion kwh),27,Completion frequency-posted routes %,
2011,Business-Type Activities ,Power,Kilowatt hours sold (billions),Kilowatt hours sold (billions),25,Completion frequency-posted routes %,
2011,Business-Type Activities ,Power,Net system capability (megawatts),Net system capability (megawatts),7,Completion frequency-posted routes %,
2011,Business-Type Activities ,Power,Customers-average number (thousands),Customers-average number (thousands),1461,Completion frequency-posted routes %,
2011,Business-Type Activities ,Water ,Customers-average number (thousands),Customers-average number (thousands),667,Completion frequency-posted routes %,
2011,Business-Type Activities ,Water ,Gallons sold (billions),Gallons sold (billions),169,Completion frequency-posted routes %,
2011,Business-Type Activities ,Water ,Net water supply (billions of gallons),Net water supply (billions of gallons),169,Completion frequency-posted routes %,
2011,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Prop A - One-way transportation trips,134412,Completion frequency-posted routes %,
2011,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Meals served vs. Meals contracted (%),98,Completion frequency-posted routes %,
2011,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Homebound meals served,781553,Completion frequency-posted routes %,
2011,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Congregate meals served,844074,Completion frequency-posted routes %,
2011,Community Development,Disability,Constituents served,Constituents served,800,Completion frequency-posted routes %,
2011,Community Development,Disability,AIDS Coordination,AIDS Coordination/HIV Testing and counseling,,Completion frequency-posted routes %,
2011,Community Development,Disability,ADA Compliance,ADA Compliance/Days to respond for interpreter services,,Completion frequency-posted routes %,
2011,Community Development,Disability,Crisis intervention,Crisis intervention,,Completion frequency-posted routes %,
2011,Community Development,Disability,Counseling sessions,Counseling sessions,80,Completion frequency-posted routes %,
2011,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Units financed by GAP under the Homeownership/Program - Low Income,,Completion frequency-posted routes %,Program - Low Income
2011,Community Development,Housing,Rent Program,Rent Program/Rental units registered,,Completion frequency-posted routes %,
2011,Community Development,Housing,Compliance Monitoring,Compliance Monitoring/Affordable units monitored,20684,Completion frequency-posted routes %,
2011,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Periodic inspections (units),,Completion frequency-posted routes %,
2011,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Multi-family unit inspected every 4 years,180000,Completion frequency-posted routes %,
2011,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Urgent repair referrals,,Completion frequency-posted routes %,
2011,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Units financed by MRB under the Homeownership/Program,,Completion frequency-posted routes %,Program
2011,Community Development,Housing,Homeownership and Preservation,Homeownership and Preservation/Number of housing units made lead safe,41,Completion frequency-posted routes %,
2011,Community Development,Housing,Rent Program,Rent Program/Tenant complaints processed,6408,Completion frequency-posted routes %,
2011,Community Development,Housing,Rent Program,Rent Program/Rent adjustments processed,,Completion frequency-posted routes %,
2011,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Residential units preserved under the Housing/Rehabilitation Program,,Completion frequency-posted routes %,Rehabilitation Program
2011,Cultural and Recreational Services,Convention Center,Client Revenue Services,Client Revenue Services/Repeat events hosted (#),304,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Convention Center,Scheduled exhibit hall events,Scheduled exhibit hall events,149,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Cultural Affairs,City Arts,City Arts/Theater attendance,115000,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Cultural Affairs,City Arts,City Arts/Art class enrollment,13000,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Cultural Affairs,Performing Arts,Performing Arts/Music/theatre programs presented,0,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Cultural Affairs,Community Arts,Community Arts/Special events/festivals,18,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Cultural Affairs,Community Arts,Community Arts/Art exhibitions presented,27,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,El Pueblo,Historic sites maintained,Historic sites maintained,0,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,El Pueblo,Children's art workshops held,Children's art workshops held,109,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,El Pueblo,Special events/festivals held,Special events/festivals held,89,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,El Pueblo,Art exhibitions presented,Art exhibitions presented,6,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,El Pueblo,History and Museums,History and Museums/Visitors to educational and cultural programs,485340,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,El Pueblo,History and Museums,History and Museums/Tours provided to the public,1042,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,El Pueblo,Cultural and historical tours given,Cultural and historical tours given,1116,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of library cardholders,1300000,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of people visiting library facilities,12673629,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Registered Borrowers,1231764,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Books cataloged,48304,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Books received:/Volumes,186988,Completion frequency-posted routes %,Volumes
2011,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Items circulated,15144804,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of library materials checked out,16000000,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Attendance level for cultural programming,301387,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of volunteers for special programs,2964,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Aquatics/Pool Attendance,1230362,Completion frequency-posted routes %,Pool Attendance
2011,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Other Recreation/Occupancy at child care facilities (%),95,Completion frequency-posted routes %,Occupancy at child care facilities (%)
2011,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Youth Services and Intervention Programming/Youth (ages 5-15) in organized sports programs,55752,Completion frequency-posted routes %,Youth (ages 5-15) in organized sports programs
2011,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Senior Citizens Services/Number of senior club members,10770,Completion frequency-posted routes %,Number of senior club members
2011,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Senior Citizens Services/Sr. Citizens Clubs,132,Completion frequency-posted routes %,Sr. Citizens Clubs
2011,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Municipal Sports/Number of teams,5110,Completion frequency-posted routes %,Number of teams
2011,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Municipal Sports/Team sports participants,72502,Completion frequency-posted routes %,Team sports participants
2011,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Camps/Camper days,18900,Completion frequency-posted routes %,Camper days
2011,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Aquatics/Attendance for recreational swim,2635207,Completion frequency-posted routes %,Attendance for recreational swim
2011,Cultural and Recreational Services,Recreation and Parks,Educational Exhibits,Educational Exhibits/Observatory/Attendance,909668,Completion frequency-posted routes %,Attendance
2011,Cultural and Recreational Services,Zoo,Educational Exhibits,Educational Exhibits/Attendance,1538516,Completion frequency-posted routes %,
2011,Cultural and Recreational Services,Zoo,Admissions,Admissions/Number of group reservations processed,1989,Completion frequency-posted routes %,
2011,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer protection-cases reviewed (3),160,Completion frequency-posted routes %,
2011,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer cases concluded (3),,Completion frequency-posted routes %,
2011,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer protection-consumer complaints (3),400,Completion frequency-posted routes %,
2011,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Housing/rent control cases concluded,402,Completion frequency-posted routes %,
2011,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Environmental cases concluded,312,Completion frequency-posted routes %,
2011,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Combined criminal jury and court trials,477,Completion frequency-posted routes %,
2011,General Government,City Ethics Commission,Whistle-blower complaints and investigations processed,Whistle-blower complaints and investigations processed,,Completion frequency-posted routes %,
2011,General Government,City Ethics Commission,Investigations resolved within 2 years (%),Investigations resolved within 2 years (%),93,Completion frequency-posted routes %,
2011,General Government,General Services,Building Services Program,Building Services Program/Building Maintenance and Repair/Square feet of buildings,19691358,Completion frequency-posted routes %,Square feet of buildings
2011,General Government,General Services,Building Services Program,Building Services Program/Special Events/Filmings coordinated,75,Completion frequency-posted routes %,Filmings coordinated
2011,General Government,General Services,Building Services Program,Building Services Program/Recycling Operations/Tonnage Collected,,Completion frequency-posted routes %,Tonnage Collected
2011,General Government,General Services,Building Services Program,Building Services Program/Building Maintenance and Repair/Preventative maintenance orders completed (%),77,Completion frequency-posted routes %,Preventative maintenance orders completed (%)
2011,General Government,General Services,Building Services Program,Building Services Program/Special Events/Filmings and Special Events coordinated,1887,Completion frequency-posted routes %,Filmings and Special Events coordinated
2011,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Number of wireless calls,561000,Completion frequency-posted routes %,
2011,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Number of calls received,1341000,Completion frequency-posted routes %,
2011,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Average wait time per caller (in sec),180,Completion frequency-posted routes %,
2011,General Government,Neighborhood Empowerment,Neighborhood councils certified (6),Neighborhood councils certified (6),4,Completion frequency-posted routes %,
2011,General Government,Office of Finance,Annual Business Tax renewal e-filings,Annual Business Tax renewal e-filings,182801,Completion frequency-posted routes %,
2011,General Government,Office of Finance,Collections from Citywide Collection Unit ($ in 000's),Collections from Citywide Collection Unit ($ in 000's),27281,Completion frequency-posted routes %,
2011,General Government,Office of Finance,Refund claims processed,Refund claims processed,16969,Completion frequency-posted routes %,
2011,General Government,Office of Finance,Revenue enhancement unit investigations (5),Revenue enhancement unit investigations (5),133009,Completion frequency-posted routes %,
2011,General Government,Office of Finance,Total tax accounts audited,Total tax accounts audited,5567,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Maintain a baseline 99.5% of refuse collected on schedule (%),100,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recycling Contamination,58806,Completion frequency-posted routes %,Recycling Contamination
2011,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Bulky Items,32479,Completion frequency-posted routes %,Bulky Items
2011,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recyclables,148194,Completion frequency-posted routes %,Recyclables
2011,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Yard Trimmings,492341,Completion frequency-posted routes %,Yard Trimmings
2011,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Refuse,882005,Completion frequency-posted routes %,Refuse
2011,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Increase truck fleet conversion to clean fuel (no. of trucks),0,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Convert refuse collection fleet to clean fuels (%),66,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Implement LAUSD Blue Bin Recycling Program (%),85,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Clean Water,"Clean Water/Clean 60,000 pipe reaches as mandated (%)",233,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/Maintain 3-yr rolling avrg of 60 miles of sewers (%),100,Completion frequency-posted routes %,
2011,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/WCSD Sewer Cleaning - miles of sewers cleaned (10),6093,Completion frequency-posted routes %,
